TRAN_AMT,WF_dvc_age,ALERT_TRGR_CD,DVC_TYPE_TXT,FRAUD_NONFRAUD,CARR_Missing,PH_NUM_UPDT_TS_Missing,PWD_UPDT_TS tm_year,PWD_UPDT_TS tm_hour,PWD_UPDT_TS tm_min,PH_NUM_UPDT_TS tm_year,PH_NUM_UPDT_TS tm_mon,PH_NUM_UPDT_TS tm_hour,PH_NUM_UPDT_TS tm_sec,PH_NUM_UPDT_TS tm_yday
150.78,1280,2,2.0,0,0,1,2019.0,12.0,10.0,2019.2121343133017,6.146418792333189,11.200172935581495,28.2890906470673,169.17394437238795
2096.75,195,1,2.0,1,0,0,2021.0,1.0,31.0,2018.0,9.0,6.0,29.0,269.0
454.28,1314,2,2.0,1,0,0,2019.5170574712645,10.498758620689655,26.472183908045977,2017.0,12.0,8.0,31.0,339.0
2.66,53,2,2.0,1,0,1,2017.0,8.0,11.0,2019.2121343133017,6.146418792333189,11.200172935581495,28.2890906470673,169.17394437238795
124.52,788,1,2.0,1,0,1,2019.5170574712645,10.498758620689655,26.472183908045977,2019.2121343133017,6.146418792333189,11.200172935581495,28.2890906470673,169.17394437238795
18.34,1689,1,0.0,1,0,1,2017.0,1.0,4.0,2019.2121343133017,6.146418792333189,11.200172935581495,28.2890906470673,169.17394437238795
82.46,1086,2,1.0,1,0,1,2019.5170574712645,10.498758620689655,26.472183908045977,2019.2121343133017,6.146418792333189,11.200172935581495,28.2890906470673,169.17394437238795
26.79,1228,1,3.0,0,0,0,2021.0,17.0,57.0,2019.0,5.0,14.0,44.0,125.0
471.74,1881,2,2.0,1,1,1,2019.5170574712645,10.498758620689655,26.472183908045977,2019.2121343133017,6.146418792333189,11.200172935581495,28.2890906470673,169.17394437238795
24.12,380,2,2.0,1,0,0,2019.5170574712645,10.498758620689655,26.472183908045977,2020.0,1.0,6.0,37.0,8.0
465.36,1716,2,2.0,1,0,0,2018.0,5.0,35.0,2020.0,1.0,11.0,37.0,8.0
0.01,536,2,2.0,1,0,1,2021.0,4.0,51.0,2019.2121343133017,6.146418792333189,11.200172935581495,28.2890906470673,169.17394437238795
0.01,202,2,1.0,1,0,0,2017.0,4.0,25.0,2020.0,7.0,14.0,37.0,190.0
14.4,500,1,2.0,1,0,0,2019.5170574712645,10.498758620689655,26.472183908045977,2020.0,7.0,8.0,37.0,190.0
36.28,65,2,2.0,1,0,1,2020.0,9.0,7.0,2019.2121343133017,6.146418792333189,11.200172935581495,28.2890906470673,169.17394437238795
492.71,757,2,0.0,0,1,1,2020.0,20.0,20.0,2019.2121343133017,6.146418792333189,11.200172935581495,28.2890906470673,169.17394437238795
468.95,17,1,2.0,1,0,0,2020.0,13.0,7.0,2018.0,4.0,9.0,37.0,113.0
491.44,164,1,2.0,0,1,0,2020.0,10.0,18.0,2017.0,5.0,14.0,5.0,129.0
7.02,1224,1,2.0,1,0,0,2019.0,4.0,1.0,2019.0,7.0,6.0,44.0,188.0
230.85,1024,1,0.0,1,0,0,2019.5170574712645,10.498758620689655,26.472183908045977,2018.0,1.0,16.0,1.0,21.0
491.13,0,2,2.0,0,0,0,2019.5170574712645,10.498758620689655,26.472183908045977,2020.0,5.0,23.0,57.0,142.0
489.51,522,2,0.0,0,0,0,2020.0,12.0,4.0,2017.0,5.0,13.0,24.0,137.0
186.5,97,2,2.0,1,0,1,2020.0,4.0,51.0,2019.2121343133017,6.146418792333189,11.200172935581495,28.2890906470673,169.17394437238795
487.96,1017,1,0.0,0,1,0,2018.0,9.0,2.0,2019.0,5.0,10.0,2.0,121.0
0.01,959,2,1.0,1,0,0,2019.5170574712645,10.498758620689655,26.472183908045977,2020.0,5.0,6.0,16.0,133.0
0.01,229,1,2.0,1,0,0,2021.0,13.0,13.0,2020.0,7.0,6.0,37.0,190.0
0.01,257,1,2.0,1,0,1,2020.0,1.0,7.0,2019.2121343133017,6.146418792333189,11.200172935581495,28.2890906470673,169.17394437238795
44.33,90,1,2.0,1,0,0,2021.0,13.0,33.0,2017.0,5.0,6.0,51.0,128.0
488.75,1862,2,0.0,0,1,1,2021.0,9.0,36.0,2019.2121343133017,6.146418792333189,11.200172935581495,28.2890906470673,169.17394437238795
31.42,293,1,2.0,1,0,1,2018.0,22.0,21.0,2019.2121343133017,6.146418792333189,11.200172935581495,28.2890906470673,169.17394437238795
63.81,130,2,2.0,1,0,1,2019.5170574712645,10.498758620689655,26.472183908045977,2019.2121343133017,6.146418792333189,11.200172935581495,28.2890906470673,169.17394437238795
492.63,419,1,2.0,0,0,0,2019.0,17.0,9.0,2021.0,5.0,16.0,26.0,144.0
100.4,407,2,1.0,0,0,0,2021.0,13.0,56.0,2017.0,5.0,11.0,5.0,148.0
487.25,0,2,1.0,0,1,0,2018.0,10.0,29.0,2020.0,5.0,23.0,43.0,128.0
489.94,0,2,2.0,0,1,1,2020.0,12.0,15.0,2019.2121343133017,6.146418792333189,11.200172935581495,28.2890906470673,169.17394437238795
0.01,2039,1,2.0,1,0,1,2019.0,7.0,7.0,2019.2121343133017,6.146418792333189,11.200172935581495,28.2890906470673,169.17394437238795
477.42,101,2,2.0,1,0,1,2020.0,7.0,35.0,2019.2121343133017,6.146418792333189,11.200172935581495,28.2890906470673,169.17394437238795
8.89,1020,1,2.0,1,0,1,2020.0,15.0,31.0,2019.2121343133017,6.146418792333189,11.200172935581495,28.2890906470673,169.17394437238795
492.11,420,1,2.0,0,0,1,2020.0,9.0,5.0,2019.2121343133017,6.146418792333189,11.200172935581495,28.2890906470673,169.17394437238795
480.6,1260,1,1.0,1,0,0,2019.5170574712645,10.498758620689655,26.472183908045977,2020.0,7.0,6.0,37.0,203.0
0.01,90,2,2.0,1,0,1,2017.0,3.0,11.0,2019.2121343133017,6.146418792333189,11.200172935581495,28.2890906470673,169.17394437238795
0.01,11,1,2.0,1,1,1,2021.0,14.0,6.0,2019.2121343133017,6.146418792333189,11.200172935581495,28.2890906470673,169.17394437238795
468.11,949,1,2.0,1,0,1,2019.5170574712645,10.498758620689655,26.472183908045977,2019.2121343133017,6.146418792333189,11.200172935581495,28.2890906470673,169.17394437238795
416.3,2169,1,2.0,1,0,1,2019.5170574712645,10.498758620689655,26.472183908045977,2019.2121343133017,6.146418792333189,11.200172935581495,28.2890906470673,169.17394437238795
0.01,1664,2,0.0,1,0,0,2021.0,13.0,11.0,2017.0,5.0,10.0,15.0,134.0
460.17,90,2,0.0,1,0,1,2019.5170574712645,10.498758620689655,26.472183908045977,2019.2121343133017,6.146418792333189,11.200172935581495,28.2890906470673,169.17394437238795
486.09,331,1,1.0,0,1,0,2021.0,14.0,56.0,2020.0,5.0,23.0,13.0,143.0
491.45,904,1,0.0,0,1,0,2021.0,15.0,30.0,2020.0,11.0,11.0,25.0,315.0
466.0,457,2,2.0,1,0,0,2021.0,19.0,37.0,2019.0,5.0,11.0,23.0,141.0
0.55,270,2,2.0,1,0,1,2018.0,3.0,38.0,2019.2121343133017,6.146418792333189,11.200172935581495,28.2890906470673,169.17394437238795
130.67,1420,1,2.0,1,0,0,2019.0,5.0,4.0,2019.0,12.0,14.0,59.0,336.0
484.56,63,1,2.0,1,0,0,2019.0,14.0,6.0,2019.0,5.0,21.0,5.0,128.0
491.52,0,2,2.0,0,1,1,2018.0,11.0,44.0,2019.2121343133017,6.146418792333189,11.200172935581495,28.2890906470673,169.17394437238795
14.91,1079,1,1.0,1,0,0,2021.0,3.0,7.0,2019.0,3.0,13.0,37.0,67.0
341.64,120,2,1.0,1,0,0,2021.0,11.0,37.0,2020.0,3.0,6.0,27.0,62.0
18.28,291,2,2.0,1,0,0,2021.0,14.0,47.0,2020.0,5.0,1.0,2.0,151.0
0.01,925,1,1.0,0,0,1,2019.5170574712645,10.498758620689655,26.472183908045977,2019.2121343133017,6.146418792333189,11.200172935581495,28.2890906470673,169.17394437238795
0.01,4,1,2.0,1,0,1,2017.0,13.0,7.0,2019.2121343133017,6.146418792333189,11.200172935581495,28.2890906470673,169.17394437238795
1.18,255,1,0.0,1,0,0,2021.0,20.0,55.0,2017.0,9.0,2.0,51.0,251.0
59.5,1389,1,2.0,1,0,1,2017.0,14.0,7.0,2019.2121343133017,6.146418792333189,11.200172935581495,28.2890906470673,169.17394437238795
582.07,196,2,2.0,1,1,1,2021.0,1.0,57.0,2019.2121343133017,6.146418792333189,11.200172935581495,28.2890906470673,169.17394437238795
488.41,886,2,2.0,0,1,1,2019.5170574712645,10.498758620689655,26.472183908045977,2019.2121343133017,6.146418792333189,11.200172935581495,28.2890906470673,169.17394437238795
358.13,29,2,1.0,0,0,1,2017.0,9.0,53.0,2019.2121343133017,6.146418792333189,11.200172935581495,28.2890906470673,169.17394437238795
350.88,428,2,2.0,1,0,1,2020.0,11.0,48.0,2019.2121343133017,6.146418792333189,11.200172935581495,28.2890906470673,169.17394437238795
0.01,343,1,2.0,1,0,0,2019.0,11.0,4.0,2020.0,7.0,6.0,2.0,190.0
488.58,0,2,2.0,0,1,0,2020.0,9.0,53.0,2020.0,5.0,12.0,30.0,122.0
0.01,1194,2,2.0,1,0,1,2017.0,21.0,7.0,2019.2121343133017,6.146418792333189,11.200172935581495,28.2890906470673,169.17394437238795
30.68,862,1,2.0,1,0,1,2019.5170574712645,10.498758620689655,26.472183908045977,2019.2121343133017,6.146418792333189,11.200172935581495,28.2890906470673,169.17394437238795
69.29,308,2,2.0,1,0,1,2020.0,14.0,59.0,2019.2121343133017,6.146418792333189,11.200172935581495,28.2890906470673,169.17394437238795
376.79,149,1,2.0,1,0,0,2019.5170574712645,10.498758620689655,26.472183908045977,2019.0,3.0,6.0,28.0,67.0
2.77,653,1,2.0,1,0,0,2019.5170574712645,10.498758620689655,26.472183908045977,2020.0,9.0,8.0,10.0,252.0
377.88,166,1,1.0,1,0,0,2020.0,15.0,10.0,2019.0,10.0,19.0,15.0,304.0
5.98,635,2,1.0,1,0,0,2020.0,12.0,30.0,2020.0,12.0,6.0,1.0,364.0
494.07,0,2,1.0,0,1,1,2019.5170574712645,10.498758620689655,26.472183908045977,2019.2121343133017,6.146418792333189,11.200172935581495,28.2890906470673,169.17394437238795
46.81,405,1,1.0,1,0,1,2019.5170574712645,10.498758620689655,26.472183908045977,2019.2121343133017,6.146418792333189,11.200172935581495,28.2890906470673,169.17394437238795
23.79,1916,1,2.0,1,0,1,2017.0,7.0,7.0,2019.2121343133017,6.146418792333189,11.200172935581495,28.2890906470673,169.17394437238795
0.01,63,1,2.0,1,0,1,2019.0,4.0,39.0,2019.2121343133017,6.146418792333189,11.200172935581495,28.2890906470673,169.17394437238795
0.01,467,2,2.0,1,0,1,2019.5170574712645,10.498758620689655,26.472183908045977,2019.2121343133017,6.146418792333189,11.200172935581495,28.2890906470673,169.17394437238795
360.17,4,2,1.0,1,0,1,2019.0,3.0,56.0,2019.2121343133017,6.146418792333189,11.200172935581495,28.2890906470673,169.17394437238795
487.82,147,2,2.0,1,0,0,2019.5170574712645,10.498758620689655,26.472183908045977,2018.0,7.0,6.0,46.0,189.0
1074.17,371,2,2.0,1,0,1,2019.5170574712645,10.498758620689655,26.472183908045977,2019.2121343133017,6.146418792333189,11.200172935581495,28.2890906470673,169.17394437238795
487.37,0,1,2.0,0,0,1,2021.0,17.0,1.0,2019.2121343133017,6.146418792333189,11.200172935581495,28.2890906470673,169.17394437238795
490.49,0,1,1.0,0,1,1,2021.0,12.0,13.0,2019.2121343133017,6.146418792333189,11.200172935581495,28.2890906470673,169.17394437238795
44.29,67,2,2.0,1,0,1,2021.0,14.0,36.0,2019.2121343133017,6.146418792333189,11.200172935581495,28.2890906470673,169.17394437238795
494.06,699,1,2.0,0,0,0,2021.0,0.0,56.0,2019.0,9.0,19.0,5.0,273.0
11.47,98,1,2.0,1,1,1,2020.0,18.0,21.0,2019.2121343133017,6.146418792333189,11.200172935581495,28.2890906470673,169.17394437238795
11.62,46,1,2.0,1,0,1,2018.0,11.0,37.0,2019.2121343133017,6.146418792333189,11.200172935581495,28.2890906470673,169.17394437238795
30.92,1250,2,2.0,1,0,0,2020.0,7.0,9.0,2020.0,12.0,6.0,37.0,343.0
143.56,1447,1,4.0,1,1,0,2019.0,4.0,34.0,2017.0,1.0,17.0,43.0,30.0
162.79,17,1,1.0,1,0,1,2017.0,8.0,7.0,2019.2121343133017,6.146418792333189,11.200172935581495,28.2890906470673,169.17394437238795
0.01,1103,1,2.0,1,0,1,2017.0,4.0,27.0,2019.2121343133017,6.146418792333189,11.200172935581495,28.2890906470673,169.17394437238795
459.63,103,1,2.0,1,0,0,2017.0,9.0,7.0,2018.0,4.0,16.0,50.0,110.0
63.55,912,2,2.0,1,0,1,2017.0,13.0,7.0,2019.2121343133017,6.146418792333189,11.200172935581495,28.2890906470673,169.17394437238795
384.8,2548,1,2.0,1,0,1,2019.5170574712645,10.498758620689655,26.472183908045977,2019.2121343133017,6.146418792333189,11.200172935581495,28.2890906470673,169.17394437238795
0.01,2715,1,2.0,1,0,1,2019.5170574712645,10.498758620689655,26.472183908045977,2019.2121343133017,6.146418792333189,11.200172935581495,28.2890906470673,169.17394437238795
495.88,828,2,2.0,0,0,1,2019.5170574712645,10.498758620689655,26.472183908045977,2019.2121343133017,6.146418792333189,11.200172935581495,28.2890906470673,169.17394437238795
288.39,722,2,1.0,1,0,1,2018.0,13.0,42.0,2019.2121343133017,6.146418792333189,11.200172935581495,28.2890906470673,169.17394437238795
1334.8,138,1,0.0,1,0,1,2019.5170574712645,10.498758620689655,26.472183908045977,2019.2121343133017,6.146418792333189,11.200172935581495,28.2890906470673,169.17394437238795
487.88,0,2,2.0,0,0,0,2020.0,17.0,40.0,2020.0,2.0,9.0,5.0,32.0
490.43,1459,1,1.0,0,1,0,2019.5170574712645,10.498758620689655,26.472183908045977,2020.0,5.0,11.0,7.0,129.0
562.4,0,2,2.0,0,0,0,2020.0,4.0,10.0,2020.0,1.0,23.0,5.0,1.0
0.01,133,1,2.0,1,0,1,2020.0,4.0,39.0,2019.2121343133017,6.146418792333189,11.200172935581495,28.2890906470673,169.17394437238795
493.57,5,1,1.0,0,1,1,2020.0,10.0,8.0,2019.2121343133017,6.146418792333189,11.200172935581495,28.2890906470673,169.17394437238795
0.01,706,2,2.0,1,0,1,2019.0,11.0,7.0,2019.2121343133017,6.146418792333189,11.200172935581495,28.2890906470673,169.17394437238795
8.95,688,1,2.0,1,0,0,2019.5170574712645,10.498758620689655,26.472183908045977,2019.0,1.0,22.0,37.0,14.0
17.71,139,2,2.0,1,0,0,2017.0,14.0,50.0,2021.0,8.0,11.0,37.0,236.0
455.53,780,1,2.0,1,0,0,2019.5170574712645,10.498758620689655,26.472183908045977,2018.0,7.0,6.0,37.0,189.0
481.98,6,1,2.0,1,0,1,2019.0,9.0,4.0,2019.2121343133017,6.146418792333189,11.200172935581495,28.2890906470673,169.17394437238795
28.34,2147,1,2.0,1,0,1,2019.5170574712645,10.498758620689655,26.472183908045977,2019.2121343133017,6.146418792333189,11.200172935581495,28.2890906470673,169.17394437238795
495.84,615,1,2.0,0,0,1,2020.0,0.0,24.0,2019.2121343133017,6.146418792333189,11.200172935581495,28.2890906470673,169.17394437238795
0.01,149,1,2.0,1,0,1,2019.5170574712645,10.498758620689655,26.472183908045977,2019.2121343133017,6.146418792333189,11.200172935581495,28.2890906470673,169.17394437238795
492.47,87,1,2.0,0,0,0,2021.0,14.0,3.0,2020.0,5.0,23.0,35.0,139.0
45.61,385,1,2.0,1,0,0,2019.5170574712645,10.498758620689655,26.472183908045977,2020.0,9.0,6.0,37.0,257.0
487.02,2395,2,2.0,1,0,0,2018.0,18.0,31.0,2019.0,1.0,10.0,9.0,4.0
78.32,998,1,1.0,1,0,1,2020.0,11.0,16.0,2019.2121343133017,6.146418792333189,11.200172935581495,28.2890906470673,169.17394437238795
6.0,6,2,2.0,1,0,0,2019.0,4.0,48.0,2019.0,10.0,11.0,29.0,297.0
205.52,1001,2,1.0,0,0,1,2020.0,8.0,53.0,2019.2121343133017,6.146418792333189,11.200172935581495,28.2890906470673,169.17394437238795
488.87,0,2,2.0,0,1,0,2021.0,12.0,3.0,2021.0,5.0,16.0,5.0,121.0
458.65,502,2,2.0,1,0,1,2020.0,4.0,11.0,2019.2121343133017,6.146418792333189,11.200172935581495,28.2890906470673,169.17394437238795
11.3,61,1,2.0,1,0,1,2020.0,4.0,12.0,2019.2121343133017,6.146418792333189,11.200172935581495,28.2890906470673,169.17394437238795
46.83,512,2,2.0,1,0,1,2020.0,5.0,14.0,2019.2121343133017,6.146418792333189,11.200172935581495,28.2890906470673,169.17394437238795
1.11,41,1,2.0,1,0,1,2020.0,7.0,7.0,2019.2121343133017,6.146418792333189,11.200172935581495,28.2890906470673,169.17394437238795
358.87,0,1,0.0,1,0,0,2017.0,8.0,1.0,2020.0,7.0,6.0,37.0,190.0
75.67,524,2,2.0,0,0,1,2020.0,11.0,39.0,2019.2121343133017,6.146418792333189,11.200172935581495,28.2890906470673,169.17394437238795
312.51,174,1,2.0,1,0,1,2019.5170574712645,10.498758620689655,26.472183908045977,2019.2121343133017,6.146418792333189,11.200172935581495,28.2890906470673,169.17394437238795
500.87,692,1,1.0,1,0,0,2017.0,10.0,10.0,2019.0,5.0,11.0,44.0,143.0
15.39,0,1,2.0,0,1,0,2021.0,16.0,40.0,2020.0,11.0,23.0,6.0,322.0
117.57,74,1,0.0,1,0,0,2020.0,13.0,21.0,2019.0,7.0,14.0,9.0,210.0
495.89,328,2,2.0,0,0,1,2020.0,18.0,16.0,2019.2121343133017,6.146418792333189,11.200172935581495,28.2890906470673,169.17394437238795
3.13,45,2,2.0,1,0,1,2019.5170574712645,10.498758620689655,26.472183908045977,2019.2121343133017,6.146418792333189,11.200172935581495,28.2890906470673,169.17394437238795
491.54,2226,2,0.0,0,1,0,2020.0,14.0,58.0,2018.0,11.0,23.0,20.0,305.0
494.15,404,1,1.0,0,0,1,2019.0,3.0,8.0,2019.2121343133017,6.146418792333189,11.200172935581495,28.2890906470673,169.17394437238795
13.63,984,2,2.0,1,0,1,2020.0,15.0,7.0,2019.2121343133017,6.146418792333189,11.200172935581495,28.2890906470673,169.17394437238795
491.17,183,2,0.0,0,0,0,2019.5170574712645,10.498758620689655,26.472183908045977,2020.0,4.0,12.0,43.0,106.0
485.71,0,2,1.0,0,1,0,2020.0,8.0,56.0,2020.0,5.0,23.0,5.0,134.0
494.77,1289,2,1.0,0,0,1,2019.0,15.0,33.0,2019.2121343133017,6.146418792333189,11.200172935581495,28.2890906470673,169.17394437238795
2.98,302,1,2.0,1,0,0,2020.0,4.0,27.0,2018.0,5.0,7.0,18.0,126.0
93.25,450,2,4.0,1,0,0,2019.5170574712645,10.498758620689655,26.472183908045977,2020.0,3.0,20.0,56.0,72.0
82.04,258,1,2.0,1,0,1,2017.0,4.0,17.0,2019.2121343133017,6.146418792333189,11.200172935581495,28.2890906470673,169.17394437238795
468.26,5,2,2.0,1,0,1,2019.5170574712645,10.498758620689655,26.472183908045977,2019.2121343133017,6.146418792333189,11.200172935581495,28.2890906470673,169.17394437238795
15.69,21,1,1.0,1,0,1,2019.0,7.0,7.0,2019.2121343133017,6.146418792333189,11.200172935581495,28.2890906470673,169.17394437238795
0.01,500,2,2.0,1,0,1,2019.5170574712645,10.498758620689655,26.472183908045977,2019.2121343133017,6.146418792333189,11.200172935581495,28.2890906470673,169.17394437238795
79.36,179,1,2.0,1,0,1,2020.0,6.0,8.0,2019.2121343133017,6.146418792333189,11.200172935581495,28.2890906470673,169.17394437238795
117.14,1856,2,0.0,1,0,0,2019.5170574712645,10.498758620689655,26.472183908045977,2018.0,6.0,6.0,25.0,158.0
495.08,732,1,2.0,0,0,0,2019.0,15.0,4.0,2020.0,8.0,23.0,10.0,221.0
489.74,1313,2,1.0,0,0,0,2021.0,17.0,37.0,2020.0,3.0,13.0,5.0,87.0
490.71,1420,1,0.0,0,0,1,2021.0,19.0,19.0,2019.2121343133017,6.146418792333189,11.200172935581495,28.2890906470673,169.17394437238795
0.01,502,1,2.0,1,0,1,2017.0,6.0,3.0,2019.2121343133017,6.146418792333189,11.200172935581495,28.2890906470673,169.17394437238795
0.01,272,1,2.0,1,0,1,2019.5170574712645,10.498758620689655,26.472183908045977,2019.2121343133017,6.146418792333189,11.200172935581495,28.2890906470673,169.17394437238795
0.01,657,1,2.0,1,0,0,2017.0,4.0,19.0,2019.0,5.0,15.0,37.0,125.0
489.03,803,2,2.0,1,0,0,2020.0,18.0,46.0,2020.0,10.0,16.0,20.0,279.0
497.21,17,2,2.0,0,1,0,2021.0,17.0,59.0,2017.0,6.0,14.0,41.0,161.0
1.27,2303,2,2.0,1,0,1,2021.0,4.0,43.0,2019.2121343133017,6.146418792333189,11.200172935581495,28.2890906470673,169.17394437238795
128.86,22,2,2.0,1,0,0,2020.0,19.0,27.0,2019.0,9.0,10.0,37.0,259.0
0.71,358,2,1.0,1,0,0,2017.0,15.0,47.0,2018.0,2.0,6.0,27.0,39.0
18.41,82,2,1.0,1,0,1,2019.0,22.0,29.0,2019.2121343133017,6.146418792333189,11.200172935581495,28.2890906470673,169.17394437238795
495.54,665,2,1.0,0,0,0,2020.0,0.0,44.0,2020.0,3.0,9.0,5.0,73.0
0.01,56,1,2.0,1,0,1,2020.0,15.0,18.0,2019.2121343133017,6.146418792333189,11.200172935581495,28.2890906470673,169.17394437238795
8.23,225,1,2.0,1,0,0,2017.0,1.0,21.0,2021.0,2.0,13.0,37.0,54.0
29.91,1254,1,2.0,1,0,0,2019.5170574712645,10.498758620689655,26.472183908045977,2019.0,7.0,6.0,37.0,189.0
142.89,165,1,2.0,1,0,0,2019.5170574712645,10.498758620689655,26.472183908045977,2019.0,6.0,11.0,46.0,181.0
0.01,110,1,2.0,1,0,1,2020.0,4.0,4.0,2019.2121343133017,6.146418792333189,11.200172935581495,28.2890906470673,169.17394437238795
164.75,37,2,0.0,0,0,1,2020.0,13.0,2.0,2019.2121343133017,6.146418792333189,11.200172935581495,28.2890906470673,169.17394437238795
492.36,90,2,1.0,0,0,0,2021.0,14.0,56.0,2018.0,5.0,22.0,5.0,149.0
20.42,478,1,1.0,1,1,1,2018.0,20.0,4.0,2019.2121343133017,6.146418792333189,11.200172935581495,28.2890906470673,169.17394437238795
7.13,58,2,2.0,1,0,0,2017.0,4.0,7.0,2019.0,7.0,6.0,37.0,189.0
