dataset_id,TRAN_AMT,ACCT_PRE_TRAN_AVAIL_BAL,CUST_AGE,OPEN_ACCT_CT,WF_dvc_age,PWD_UPDT_TS,CARR_NAME,RGN_NAME,STATE_PRVNC_TXT,ALERT_TRGR_CD,DVC_TYPE_TXT,AUTHC_PRIM_TYPE_CD,AUTHC_SCNDRY_STAT_TXT,CUST_ZIP,CUST_STATE,PH_NUM_UPDT_TS,CUST_SINCE_DT,TRAN_TS,TRAN_DT,ACTN_CD,ACTN_INTNL_TXT,TRAN_TYPE_CD,ACTVY_DT
16,0.01,0,60,4,532,2/18/2019 4:28:13,comcast,southwest,california,MOBL,MOBILE,UN_PWD,ALLOW,77014,TX,7/8/2018 6:51:36,2018-01-21 00:00:00,1/17/2021 12:28:13,1/17/2021,SCHPMT,P2P_COMMIT,P2P,1/17/2021
17,819.44,7547.94,78,3,1279,2/16/2019 8:7:20,charter communications inc,southwest,california,MOBL,,AFA_PL,ALLOW,95377,CA,12/8/2021 17:49:22,1987-09-21 00:00:00,4/27/2021 4:0:51,4/27/2021,SCHPMT,P2P_COMMIT,P2P,4/27/2021
18,60.53,70728.43,71,6,962,5/2/2019 4:7:20,frontier communications of america  inc.,southwest,california,ONLN,MOBILE,UN_PWD,ALLOW,95050,CA,1/8/2019 14:45:37,1994-04-21 00:00:00,6/1/2021 13:0:51,6/1/2021,SCHPMT,P2P_COMMIT,P2P,6/1/2021
19,407.48,434.11,99,7,359,5/23/2020 14:43:14,cox communications inc.,southwest,california,MOBL,MOBILE,FACE_ID,ALLOW,95832,CA,7/20/2018 22:33:47,2008-02-28 00:00:00,1/17/2021 16:43:14,1/17/2021,SCHPMT,P2P_COMMIT,P2P,1/17/2021
20,107.03,3980.91,27,4,76,11/18/2017 22:48:31,comcast cable communications  llc,southwest,california,MOBL,TABLET,UN_PWD,ALLOW,85212,AZ,6/1/2019 18:25:8,1992-08-31 00:00:00,3/11/2021 23:48:31,3/11/2021,SCHPMT,P2P_COMMIT,P2P,3/11/2021
21,228.04,45283.22,25,5,685,,cox communications inc.,southwest,arizona,MOBL,MOBILE,FACE_ID,ALLOW,33966,FL,,1932-07-29 00:00:00,8/6/2021 17:13:53,8/6/2021,SCHPMT,P2P_COMMIT,P2P,8/6/2021
22,0.01,0,42,11,485,1/23/2018 11:15:46,comcast cable communications  llc,southwest,california,ONLN,DESKTOP,UN_PWD,ALLOW,91367,CA,,2017-06-15 00:00:00,5/16/2021 13:15:46,5/16/2021,SCHPMT,P2P_COMMIT,P2P,5/16/2021
23,0.01,0,60,3,430,11/9/2018 15:3:34,,,,ONLN,MOBILE,AFA_PL,ALLOW,55321,MN,11/11/2020 6:29:29,1989-06-23 00:00:00,3/20/2021 16:3:34,3/20/2021,SCHPMT,P2P_COMMIT,P2P,3/20/2021
24,13.74,453.71,42,10,501,5/11/2019 21:10:47,frontier communications of america  inc.,southwest,california,MOBL,TABLET,UN_PWD,ALLOW,95035,CA,,2013-05-18 00:00:00,4/27/2021 0:10:47,4/27/2021,SCHPMT,P2P_COMMIT,P2P,4/27/2021
25,40.84,3447.39,44,5,220,9/26/2020 10:40:41,"pineland telephone cooperative, inc.",southeast,georgia,MOBL,,UN_PWD,ALLOW,67101,KS,1/2/2020 13:55:39,1999-07-31 00:00:00,2/13/2021 14:40:41,2/13/2021,SCHPMT,P2P_COMMIT,P2P,2/13/2021
26,495.47,2258.7,31,0,435,,t-mobile usa  inc.,mid atlantic,new jersey,MOBL,,UN_PWD,ALLOW,50317,IA,5/5/2020 23:50:5,2000-01-02 00:00:00,1/5/2021 13:14:46,1/5/2021,SCHPMT,P2P_COMMIT,P2P,1/5/2021
27,490.93,47738.25,83,6,841,6/2/2020 12:52:46,,,,ONLN,MOBILE,UN_PWD,ALLOW,75219,TX,7/3/2020 8:0:34,1990-12-19 00:00:00,2/27/2021 7:52:46,2/27/2021,SCHPMT,P2P_COMMIT,P2P,2/27/2021
28,18.28,805.44,64,6,516,11/30/2018 1:18:51,,,,ONLN,DESKTOP,UN_PWD,ALLOW,89102,NV,,2002-01-15 00:00:00,5/11/2021 17:18:51,5/11/2021,SCHPMT,P2P_COMMIT,P2P,5/11/2021
29,501.99,4031.85,26,5,1140,10/19/2021 1:5:39,charter communications,southwest,california,ONLN,MOBILE,AFA_PL,ALLOW,85303,AZ,,1994-05-05 00:00:00,2/20/2021 10:5:39,2/20/2021,SCHPMT,P2P_COMMIT,P2P,2/20/2021
30,0.01,1857.41,75,5,2072,,frontier communications of america  inc.,southwest,california,MOBL,MOBILE,UN_PWD,ALLOW,32832,FL,,1998-07-26 00:00:00,2/28/2021 8:47:30,2/28/2021,SCHPMT,P2P_COMMIT,P2P,2/28/2021
31,486.99,3255.58,65,5,0,5/3/2020 9:56:55,,,,ONLN,,UN_PWD,ALLOW,93722,CA,8/14/2020 15:50:5,1997-02-08 00:00:00,2/4/2021 9:14:46,2/4/2021,SCHPMT,P2P_COMMIT,P2P,2/4/2021
32,8.73,74231.07,52,2,2042,11/28/2018 4:24:57,t-mobile usa  inc.,northeast,new york,MOBL,DESKTOP,UN_PWD,ALLOW,78526,TX,11/15/2020 22:31:17,2010-05-10 00:00:00,6/2/2021 10:24:57,6/2/2021,SCHPMT,P2P_COMMIT,P2P,6/2/2021
33,488.08,2590.04,49,2,2,11/27/2020 6:2:0,,,,ONLN,DESKTOP,UN_PWD,ALLOW,94804,CA,,1989-03-10 00:00:00,5/14/2021 7:2:0,5/14/2021,SCHPMT,P2P_COMMIT,P2P,5/14/2021
34,95.01,0,67,4,1452,12/7/2018 4:15:56,cox communications inc.,southwest,california,ONLN,,UN_PWD,ALLOW,92203,CA,,1998-02-01 00:00:00,4/20/2021 9:15:56,4/20/2021,SCHPMT,P2P_COMMIT,P2P,4/20/2021
35,0.01,0,60,9,88,2/2/2021 4:57:21,cox communications inc.,southwest,california,MOBL,MOBILE,UN_PWD,ALLOW,94606,CA,1/28/2017 6:45:37,1997-02-16 00:00:00,5/8/2021 8:57:21,5/8/2021,SCHPMT,P2P_COMMIT,P2P,5/8/2021
36,0.01,2431.88,64,4,464,,t-mobile usa  inc.,southwest,california,MOBL,MOBILE,UN_PWD,ALLOW,91001,CA,7/26/2019 6:45:37,1995-08-26 00:00:00,5/31/2021 14:7:38,5/31/2021,SCHPMT,P2P_COMMIT,P2P,5/31/2021
37,491.25,4470.86,62,3,0,1/2/2021 12:10:14,,,,MOBL,DESKTOP,UN_PWD,ALLOW,54501,WI,5/0/2020 19:30:27,2004-08-31 00:00:00,5/18/2021 15:10:14,5/18/2021,SCHPMT,P2P_COMMIT,P2P,5/18/2021
38,73.49,2195.48,52,6,1329,,charter communications,southwest,california,ONLN,MOBILE,UN_PWD,ALLOW,33901,FL,12/15/2021 4:45:37,2001-12-31 00:00:00,2/1/2021 15:32:47,2/1/2021,SCHPMT,P2P_COMMIT,P2P,2/1/2021
39,968.91,4261.98,68,13,56,,wilson creek communications  llc,southwest,california,MOBL,DESKTOP,FACE_ID,ALLOW,92626,CA,,1994-04-28 00:00:00,4/21/2021 9:6:11,4/21/2021,SCHPMT,P2P_COMMIT,P2P,4/21/2021
40,76.27,4758.32,41,10,1839,,frontier communications of america  inc.,southwest,california,MOBL,MOBILE,UN_PWD,ALLOW,75161,TX,6/8/2018 6:49:42,2014-10-09 00:00:00,4/28/2021 13:8:19,4/28/2021,SCHPMT,P2P_COMMIT,P2P,4/28/2021
41,486.39,3617.31,39,3,0,8/19/2021 3:15:42,,,,ONLN,DESKTOP,UN_PWD,ALLOW,91761,CA,,1986-06-01 00:00:00,2/5/2021 12:15:42,2/5/2021,SCHPMT,P2P_COMMIT,P2P,2/5/2021
42,36.51,14544.52,63,3,35,2/8/2020 4:35:18,frontier communications of america  inc.,southwest,california,MOBL,MOBILE,FACE_ID,ALLOW,19802,DE,7/23/2019 6:37:14,2018-04-04 00:00:00,5/4/2021 8:35:18,5/4/2021,SCHPMT,P2P_COMMIT,P2P,5/4/2021
43,0.01,0,44,4,132,11/25/2020 4:42:56,comcast cable communications  llc,southwest,california,ONLN,MOBILE,UN_PWD,ALLOW,77095,TX,,1999-11-26 00:00:00,4/2/2021 11:42:56,4/2/2021,SCHPMT,P2P_COMMIT,P2P,4/2/2021
44,490.21,4408.53,73,18,575,4/17/2020 12:23:27,,,,ONLN,,UN_PWD,ALLOW,55128,MN,,1981-11-01 00:00:00,7/2/2021 6:23:27,7/2/2021,SCHPMT,P2P_COMMIT,P2P,7/2/2021
45,447.34,0,64,4,28,5/12/2018 10:13:30,comcast,southwest,california,ONLN,MOBILE,UN_PWD,ALLOW,95548,CA,,1983-06-30 00:00:00,6/1/2021 9:13:30,6/1/2021,SCHPMT,P2P_COMMIT,P2P,6/1/2021
46,489.23,3395.28,40,0,2037,8/18/2020 0:45:42,,,,MOBL,DESKTOP,UN_PWD,ALLOW,80233,CO,5/24/2020 9:6:35,1994-10-28 00:00:00,3/4/2021 13:45:42,3/4/2021,SCHPMT,P2P_COMMIT,P2P,3/4/2021
47,158.99,24490.62,49,82,1953,,telecomunicaciones movilnet,unknown,distrito capital,ONLN,DESKTOP,TOUCH_ID,ALLOW,77511,TX,5/15/2018 17:50:19,2010-11-09 00:00:00,2/13/2021 22:40:50,2/13/2021,SCHPMT,P2P_COMMIT,P2P,2/13/2021
48,480.04,19052.06,24,3,933,,at&t mobility llc,south central,texas,MOBL,MOBILE,UN_PWD,CHALLENGE_SUCCESS,24477,VA,,2019-11-04 00:00:00,6/4/2021 10:8:32,6/4/2021,SCHPMT,P2P_COMMIT,P2P,6/4/2021
49,847.06,1973.6,69,29,616,12/18/2017 4:0:29,comcast,southwest,california,MOBL,MOBILE,UN_PWD,ALLOW,78073,TX,7/8/2020 10:45:37,2010-06-11 00:00:00,2/6/2021 13:0:29,2/6/2021,SCHPMT,P2P_COMMIT,P2P,2/6/2021
50,492.98,2332.35,92,0,835,10/3/2020 3:31:56,,,,ONLN,,UN_PWD,ALLOW,99113,WA,5/15/2021 16:23:45,1981-07-09 00:00:00,6/22/2021 20:31:56,6/22/2021,SCHPMT,P2P_COMMIT,P2P,6/22/2021
51,490.89,2654.07,76,7,484,11/3/2021 7:9:4,,,,ONLN,DESKTOP,UN_PWD,ALLOW,55976,MN,,2004-12-08 00:00:00,1/13/2021 14:9:4,1/13/2021,SCHPMT,P2P_COMMIT,P2P,1/13/2021
52,473.18,5048.53,76,7,501,,t-mobile usa  inc.,southwest,california,MOBL,MOBILE,UN_PWD,ALLOW,89044,NV,6/25/2019 9:45:37,2003-08-05 00:00:00,5/3/2021 9:0:51,5/3/2021,SCHPMT,P2P_COMMIT,P2P,5/3/2021
53,4.01,5683.67,41,3,134,,charter communications,southwest,california,MOBL,MOBILE,FACE_ID,ALLOW,85621,AZ,3/5/2018 8:7:36,1980-02-10 00:00:00,2/8/2021 8:59:51,2/8/2021,SCHPMT,P2P_COMMIT,P2P,2/8/2021
54,397.92,59124.77,21,9,906,5/10/2020 15:18:20,comcast cable communications  llc,southwest,california,ONLN,MOBILE,UN_PWD,ALLOW,95123,CA,7/8/2020 6:45:37,2019-11-20 00:00:00,2/16/2021 16:18:20,2/16/2021,SCHPMT,P2P_COMMIT,P2P,2/16/2021
55,545.41,19825.28,16,22,523,5/29/2017 11:17:8,oacys technology,southwest,california,MOBL,MOBILE,TOUCH_ID,ALLOW,56283,MN,,1994-09-01 00:00:00,5/4/2021 19:17:8,5/4/2021,SCHPMT,P2P_COMMIT,P2P,5/4/2021
56,490.99,2267.14,88,9,622,2/14/2020 18:41:45,consolidated telephone company,midwest,nebraska,ONLN,,UN_PWD,CHALLENGE_SUCCESS,57106,SD,5/29/2019 12:50:5,1998-10-25 00:00:00,6/11/2021 7:41:45,6/11/2021,SCHPMT,P2P_COMMIT,P2P,6/11/2021
57,496.2,2221.55,61,18,835,3/26/2020 19:10:12,702 communications,midwest,north dakota,MOBL,DESKTOP,FACE_ID,ALLOW,55746,MN,6/0/2021 9:40:7,2015-12-07 00:00:00,2/23/2021 12:10:12,2/23/2021,SCHPMT,P2P_COMMIT,P2P,2/23/2021
58,0.01,0,39,3,54,9/23/2017 12:2:24,comcast cable communications  llc,southwest,california,ONLN,MOBILE,UN_PWD,ALLOW,92262,CA,7/6/2019 20:41:0,2020-05-31 00:00:00,6/30/2021 18:2:24,6/30/2021,SCHPMT,P2P_COMMIT,P2P,6/30/2021
59,1043.62,4472.14,61,3,56,7/18/2018 8:42:8,charter communications inc,southwest,california,MOBL,MOBILE,UN_PWD,ALLOW,53209,WI,10/20/2020 11:29:47,2001-06-09 00:00:00,2/28/2021 8:42:8,2/28/2021,SCHPMT,P2P_COMMIT,P2P,2/28/2021
60,68.66,0,61,7,686,1/23/2019 14:7:20,t-mobile usa  inc.,northeast,new york,ONLN,MOBILE,AFA_PL,ALLOW,77021,TX,,2018-07-24 00:00:00,6/7/2021 20:0:51,6/7/2021,SCHPMT,P2P_COMMIT,P2P,6/7/2021
61,478.19,744.85,73,8,346,,centurylink communications  llc,southwest,arizona,MOBL,MOBILE,UN_PWD,ALLOW,86503,AZ,,2011-06-05 00:00:00,7/13/2021 19:43:25,7/13/2021,SCHPMT,P2P_COMMIT,P2P,7/13/2021
62,494.46,32345.58,70,5,553,1/23/2021 16:35:50,,,,ONLN,DESKTOP,UN_PWD,ALLOW,82801,WY,5/17/2018 1:6:8,2005-04-28 00:00:00,6/29/2021 12:35:50,6/29/2021,SCHPMT,P2P_COMMIT,P2P,6/29/2021
63,83.33,25736.82,66,6,216,2/10/2021 15:6:39,charter communications inc,southwest,california,MOBL,,UN_PWD,ALLOW,77032,TX,8/30/2018 13:45:37,2013-06-13 00:00:00,1/22/2021 14:6:39,1/22/2021,SCHPMT,P2P_COMMIT,P2P,1/22/2021
64,0.01,0,61,3,536,2/18/2021 7:22:44,frontier communications of america  inc.,southwest,california,MOBL,MOBILE,UN_PWD,ALLOW,90603,CA,,1998-06-09 00:00:00,3/3/2021 6:22:44,3/3/2021,SCHPMT,P2P_COMMIT,P2P,3/3/2021
65,475.3,525.14,64,6,12,5/18/2020 0:7:20,,,,MOBL,MOBILE,AFA_PL,ALLOW,80138,CO,,1998-04-06 00:00:00,2/6/2021 8:0:51,2/6/2021,SCHPMT,P2P_COMMIT,P2P,2/6/2021
66,6.59,123671.97,61,62,787,11/5/2020 16:50:23,comcast,south central,texas,ONLN,MOBILE,UN_PWD,ALLOW,88005,NM,,2017-02-15 00:00:00,7/29/2021 11:50:23,7/29/2021,SCHPMT,P2P_COMMIT,P2P,7/29/2021
67,885.56,3640.47,70,3,163,,cox communications inc.,southwest,nevada,ONLN,TABLET,UN_PWD,ALLOW,94526,CA,6/10/2018 17:28:50,1992-03-05 00:00:00,8/20/2021 16:14:23,8/20/2021,SCHPMT,P2P_COMMIT,P2P,8/20/2021
68,99.35,6384.94,24,3,229,6/6/2019 4:46:45,at&t mobility llc,south central,texas,MOBL,MOBILE,AFA_PL,ALLOW,77478,TX,7/28/2017 13:45:37,2017-09-22 00:00:00,6/27/2021 17:46:45,6/27/2021,SCHPMT,P2P_COMMIT,P2P,6/27/2021
69,492.63,1127,71,7,0,1/21/2020 13:14:39,,,,MOBL,MOBILE,UN_PWD,ALLOW,79015,TX,5/30/2020 13:41:34,2006-11-20 00:00:00,6/5/2021 5:14:39,6/5/2021,SCHPMT,P2P_COMMIT,P2P,6/5/2021
70,3.75,0,71,3,527,11/4/2017 12:57:20,comcast,southwest,california,ONLN,MOBILE,UN_PWD,ALLOW,95035,CA,,1998-09-30 00:00:00,3/6/2021 19:57:20,3/6/2021,SCHPMT,P2P_COMMIT,P2P,3/6/2021
71,2.47,0,74,4,287,5/9/2017 10:14:53,"equinix, inc.",south central,texas,ONLN,MOBILE,UN_PWD,ALLOW,92691,CA,,1991-05-24 00:00:00,5/16/2021 7:14:53,5/16/2021,SCHPMT,P2P_COMMIT,P2P,5/16/2021
72,5.78,475.23,51,5,150,7/10/2019 4:30:51,comcast cable communications  llc,southwest,california,MOBL,,UN_PWD,ALLOW,77433,TX,,1997-04-01 00:00:00,5/2/2021 17:30:51,5/2/2021,SCHPMT,P2P_COMMIT,P2P,5/2/2021
73,0.01,0,39,3,228,2/28/2019 4:45:50,,,,MOBL,MOBILE,UN_PWD,ALLOW,95020,CA,7/8/2019 10:45:37,1996-07-09 00:00:00,2/26/2021 8:45:50,2/26/2021,SCHPMT,P2P_COMMIT,P2P,2/26/2021
74,26.32,36278.52,76,12,806,,landry s  inc.,south central,texas,ONLN,MOBILE,UN_PWD,CHALLENGE_ISSUED,30328,GA,2/7/2020 12:45:37,2020-03-27 00:00:00,1/18/2021 7:53:37,1/18/2021,SCHPMT,P2P_COMMIT,P2P,1/18/2021
75,191.94,3048.07,56,27,707,6/28/2020 6:49:33,penteledata inc.,mid atlantic,pennsylvania,ONLN,MOBILE,AFA_PL,ALLOW,91304,CA,5/22/2017 6:58:43,2004-02-25 00:00:00,3/22/2021 17:49:33,3/22/2021,SCHPMT,P2P_COMMIT,P2P,3/22/2021
76,0.01,0,62,4,387,5/2/2020 4:35:23,,,,MOBL,MOBILE,UN_PWD,ALLOW,55373,MN,,1994-11-16 00:00:00,4/19/2021 13:35:23,4/19/2021,SCHPMT,P2P_COMMIT,P2P,4/19/2021
77,462.6,426.85,42,6,30,7/23/2019 13:1:29,centurylink communications  llc,southwest,arizona,MOBL,MOBILE,UN_PWD,ALLOW,89131,NV,,2002-02-02 00:00:00,6/27/2021 12:1:29,6/27/2021,SCHPMT,P2P_COMMIT,P2P,6/27/2021
78,476.01,79094.1,22,4,905,6/4/2020 19:39:28,comcast,south central,texas,ONLN,,UN_PWD,ALLOW,86336,AZ,4/23/2017 8:6:20,1985-02-25 00:00:00,4/7/2021 14:39:28,4/7/2021,SCHPMT,P2P_COMMIT,P2P,4/7/2021
79,214.02,5316.44,62,2,581,,charter communications,southwest,california,ONLN,MOBILE,FACE_ID,CHALLENGE_SUCCESS,91789,CA,8/8/2018 10:43:35,2011-07-13 00:00:00,5/7/2021 20:10:2,5/7/2021,SCHPMT,P2P_COMMIT,P2P,5/7/2021
80,19.62,1134.84,30,6,644,2/10/2020 10:46:10,att services inc,southwest,california,MOBL,DESKTOP,TOUCH_ID,ALLOW,94618,CA,,1971-03-03 00:00:00,1/1/2021 7:46:10,1/1/2021,SCHPMT,P2P_COMMIT,P2P,1/1/2021
81,489.81,2530.96,82,3,4,3/21/2020 11:20:5,,,,ONLN,DESKTOP,UN_PWD,ALLOW,77044,TX,3/27/2020 7:11:26,2005-10-01 00:00:00,3/13/2021 21:20:5,3/13/2021,SCHPMT,P2P_COMMIT,P2P,3/13/2021
82,15.79,79055.95,58,10,154,,comcast cable communications  llc,southwest,california,ONLN,MOBILE,UN_PWD,ALLOW,55127,MN,,1995-08-06 00:00:00,1/2/2021 16:0:51,1/2/2021,SCHPMT,P2P_COMMIT,P2P,1/2/2021
83,486.82,4358.1,78,7,0,6/16/2021 10:56:55,,,,ONLN,MOBILE,UN_PWD,ALLOW,98335,WA,5/0/2020 23:41:2,1998-09-01 00:00:00,4/5/2021 11:14:46,4/5/2021,SCHPMT,P2P_COMMIT,P2P,4/5/2021
84,473.2,190971.19,48,5,1829,2/8/2020 4:53:29,att services inc,southwest,california,ONLN,MOBILE,UN_PWD,ALLOW,32822,FL,,1998-09-21 00:00:00,2/28/2021 15:53:29,2/28/2021,SCHPMT,P2P_COMMIT,P2P,2/28/2021
85,83.35,0,71,6,109,2/8/2021 17:24:32,frontier communications of america  inc.,southwest,california,MOBL,MOBILE,UN_PWD,ALLOW,30084,GA,4/7/2018 9:41:45,2000-09-21 00:00:00,4/2/2021 22:24:32,4/2/2021,SCHPMT,P2P_COMMIT,P2P,4/2/2021
86,496.96,73720.06,29,3,292,,centurylink communications  llc,mountain,wyoming,ONLN,MOBILE,UN_PWD,CHALLENGE_SUCCESS,78739,TX,,1998-08-11 00:00:00,3/12/2021 12:45:55,3/12/2021,SCHPMT,P2P_COMMIT,P2P,3/12/2021
87,123.56,0,27,5,246,11/14/2021 15:44:43,att services inc,southwest,california,MOBL,MOBILE,TOUCH_ID,CHALLENGE_SUCCESS,86505,AZ,,1991-07-04 00:00:00,6/3/2021 23:44:43,6/3/2021,SCHPMT,P2P_COMMIT,P2P,6/3/2021
88,6.04,0,37,6,30,6/1/2020 8:23:27,frontier communications of america  inc.,southwest,california,MOBL,,UN_PWD,ALLOW,57701,SD,2/8/2020 6:45:37,2018-06-30 00:00:00,2/28/2021 13:23:27,2/28/2021,SCHPMT,P2P_COMMIT,P2P,2/28/2021
89,0.01,0,24,3,1192,5/9/2019 11:24:54,cox communications inc.,southwest,california,ONLN,DESKTOP,UN_PWD,ALLOW,99654,AK,3/26/2017 6:37:49,1998-05-02 00:00:00,2/9/2021 17:24:54,2/9/2021,SCHPMT,P2P_COMMIT,P2P,2/9/2021
90,0.01,0,60,5,45,5/18/2021 17:57:4,cox communications inc.,southwest,arizona,MOBL,MOBILE,UN_PWD,ALLOW,75063,TX,,1997-12-24 00:00:00,3/25/2021 12:57:4,3/25/2021,SCHPMT,P2P_COMMIT,P2P,3/25/2021
91,482.83,5142.55,65,18,1244,7/26/2017 15:5:30,cellco partnership dba verizon wireless,southwest,california,ONLN,DESKTOP,UN_PWD,ALLOW,89143,NV,,1996-04-01 00:00:00,5/1/2021 19:5:30,5/1/2021,SCHPMT,P2P_COMMIT,P2P,5/1/2021
92,165.62,0,62,4,1575,2/21/2020 8:51:44,frontier communications of america  inc.,southwest,california,ONLN,MOBILE,UN_PWD,ALLOW,30046,GA,,2000-02-06 00:00:00,3/3/2021 19:51:44,3/3/2021,SCHPMT,P2P_COMMIT,P2P,3/3/2021
93,135.42,23567.52,22,7,1723,4/14/2021 15:33:43,suddenlink communications,southwest,california,MOBL,DESKTOP,UN_PWD,ALLOW,61428,IL,1/0/2021 9:34:7,1996-12-02 00:00:00,7/26/2021 6:33:43,7/26/2021,SCHPMT,P2P_COMMIT,P2P,7/26/2021
94,75.8,1125.87,32,1,2018,9/13/2017 2:59:48,cox communications inc.,midwest,nebraska,MOBL,,FACE_ID,ALLOW,36567,AL,7/27/2020 6:36:34,1970-05-02 00:00:00,7/5/2021 9:59:48,7/5/2021,SCHPMT,P2P_COMMIT,P2P,7/5/2021
95,123.09,4798.65,79,10,1690,6/8/2017 11:35:20,sena wave,mountain,utah,MOBL,MOBILE,TOUCH_ID,ALLOW,87316,NM,6/7/2019 4:45:37,1951-08-22 00:00:00,3/2/2021 15:35:20,3/2/2021,SCHPMT,P2P_COMMIT,P2P,3/2/2021
96,0.01,0,60,6,613,5/27/2021 9:11:43,frontier communications of america  inc.,southwest,california,MOBL,MOBILE,UN_PWD,ALLOW,85028,AZ,,1992-08-26 00:00:00,1/24/2021 14:11:43,1/24/2021,SCHPMT,P2P_COMMIT,P2P,1/24/2021
