TRAN_AMT,ACCT_PRE_TRAN_AVAIL_BAL,CUST_AGE,OPEN_ACCT_CT,WF_dvc_age,PWD_UPDT_TS,CARR_NAME,RGN_NAME,STATE_PRVNC_TXT,ALERT_TRGR_CD,DVC_TYPE_TXT,AUTHC_PRIM_TYPE_CD,AUTHC_SCNDRY_STAT_TXT,CUST_ZIP,CUST_STATE,PH_NUM_UPDT_TS,CUST_SINCE_DT,TRAN_TS,TRAN_DT,ACTN_CD,ACTN_INTNL_TXT,TRAN_TYPE_CD,ACTVY_DT,FRAUD_NONFRAUD
0.01,0,32,4,89,,,,,ONLN,MOBILE,UN_PWD,ALLOW,80127,CO,7/15/2020 6:50:42,1992-04-08 00:00:00,2/16/2021 22:6:10,2/16/2021,SCHPMT,P2P_COMMIT,P2P,2/16/2021,Non-Fraud
0.01,0,36,6,1594,5/16/2017 4:5:32,charter communications inc,south central,texas,MOBL,DESKTOP,UN_PWD,ALLOW,97305,OR,,1973-05-09 00:00:00,3/5/2021 15:5:32,3/5/2021,SCHPMT,P2P_COMMIT,P2P,3/5/2021,Non-Fraud
492.11,2955.48,23,4,90,7/5/2020 15:57:19,comcast,south central,texas,MOBL,,UN_PWD,ALLOW,11762,NY,5/1/2018 14:50:5,1985-10-17 00:00:00,6/14/2021 9:57:19,6/14/2021,SCHPMT,P2P_COMMIT,P2P,6/14/2021,Fraud
476.36,28.82,64,11,1200,,t-mobile usa  inc.,southwest,california,ONLN,MOBILE,UN_PWD,ALLOW,85249,AZ,5/6/2019 6:27:47,1993-10-09 00:00:00,4/20/2021 10:0:51,4/20/2021,SCHPMT,P2P_COMMIT,P2P,4/20/2021,Non-Fraud
65.18,11327.34,49,6,117,11/18/2017 2:25:24,cellco partnership dba verizon wireless,southwest,nevada,ONLN,MOBILE,UN_PWD,ALLOW,77388,TX,,1997-03-26 00:00:00,4/17/2021 14:25:24,4/17/2021,SCHPMT,P2P_COMMIT,P2P,4/17/2021,Non-Fraud
27.11,0,76,4,45,8/17/2020 10:7:20,charter communications inc,southwest,california,MOBL,MOBILE,UN_PWD,ALLOW,95023,CA,6/8/2020 19:45:37,2001-02-07 00:00:00,1/31/2021 21:0:51,1/31/2021,SCHPMT,P2P_COMMIT,P2P,1/31/2021,Non-Fraud
458.8,5156.9,20,4,90,2/3/2020 4:11:19,charter communications inc,southwest,california,ONLN,MOBILE,UN_PWD,ALLOW,77388,TX,,2001-07-18 00:00:00,3/2/2021 6:11:19,3/2/2021,SCHPMT,P2P_COMMIT,P2P,3/2/2021,Non-Fraud
464.94,1250.56,63,8,327,,centurylink communications  llc,southwest,arizona,ONLN,MOBILE,UN_PWD,ALLOW,8857,NJ,,1982-02-01 00:00:00,1/11/2021 13:7:7,1/11/2021,SCHPMT,P2P_COMMIT,P2P,1/11/2021,Non-Fraud
578.45,14586.45,45,5,1065,1/3/2017 17:4:49,centurylink communications  llc,great lakes,wisconsin,MOBL,MOBILE,UN_PWD,ALLOW,96766,HI,7/20/2018 11:22:46,1978-10-30 00:00:00,1/12/2021 15:4:49,1/12/2021,SCHPMT,P2P_COMMIT,P2P,1/12/2021,Non-Fraud
450.81,1061.03,70,5,748,5/22/2020 10:7:20,comcast cable communications  llc,southwest,california,ONLN,MOBILE,UN_PWD,ALLOW,94605,CA,,1990-12-07 00:00:00,6/17/2021 19:0:51,6/17/2021,SCHPMT,P2P_COMMIT,P2P,6/17/2021,Non-Fraud
491.58,30546.1,25,2,0,12/24/2020 10:20:54,,,,ONLN,MOBILE,UN_PWD,ALLOW,94519,CA,5/16/2020 19:50:5,1995-06-01 00:00:00,2/11/2021 11:20:54,2/11/2021,SCHPMT,P2P_COMMIT,P2P,2/11/2021,Fraud
221.88,11341.94,41,3,701,,,,,ONLN,,FACE_ID,ALLOW,85302,AZ,2/19/2020 10:2:48,1992-06-10 00:00:00,1/4/2021 7:49:10,1/4/2021,SCHPMT,P2P_COMMIT,P2P,1/4/2021,Fraud
186.27,2840.01,94,4,1839,,smarterbroadband,southwest,california,MOBL,DESKTOP,FACE_ID,ALLOW,92114,CA,,1994-04-11 00:00:00,7/16/2021 10:37:48,7/16/2021,SCHPMT,P2P_COMMIT,P2P,7/16/2021,Fraud
495.04,3827.72,86,12,1193,1/9/2020 12:6:53,cellco partnership dba verizon wireless,south central,texas,ONLN,DESKTOP,UN_PWD,ALLOW,76522,TX,,2001-05-02 00:00:00,3/2/2021 18:6:53,3/2/2021,SCHPMT,P2P_COMMIT,P2P,3/2/2021,Fraud
29.33,0,75,4,120,,t-mobile usa  inc.,southwest,california,ONLN,,FACE_ID,ALLOW,30075,GA,7/11/2017 6:31:17,1992-12-19 00:00:00,5/13/2021 3:14:4,5/13/2021,SCHPMT,P2P_COMMIT,P2P,5/13/2021,Non-Fraud
25.64,161.92,67,6,326,11/8/2020 9:12:13,centurylink communications  llc,southwest,arizona,ONLN,DESKTOP,UN_PWD,ALLOW,89121,NV,,2013-03-12 00:00:00,6/9/2021 16:12:13,6/9/2021,SCHPMT,P2P_COMMIT,P2P,6/9/2021,Non-Fraud
488.21,3042.48,53,9,0,1/15/2020 12:32:16,,,,MOBL,MOBILE,UN_PWD,ALLOW,55057,MN,5/18/2020 12:50:5,1996-02-10 00:00:00,2/11/2021 13:32:16,2/11/2021,SCHPMT,P2P_COMMIT,P2P,2/11/2021,Fraud
67.81,30519.52,52,4,0,8/11/2020 11:31:1,go fiber,mountain,utah,ONLN,MOBILE,UN_PWD,ALLOW,86033,AZ,,2014-01-16 00:00:00,4/22/2021 18:31:1,4/22/2021,SCHPMT,P2P_COMMIT,P2P,4/22/2021,Fraud
496.2,1906.73,75,4,1527,,charter communications  inc,southwest,california,ONLN,MOBILE,UN_PWD,CHALLENGE_SUCCESS,29841,SC,,1979-02-28 00:00:00,3/18/2021 17:55:45,3/18/2021,SCHPMT,P2P_COMMIT,P2P,3/18/2021,Fraud
462.16,381.5,64,3,163,11/12/2017 15:4:5,charter communications inc,southwest,california,ONLN,MOBILE,UN_PWD,ALLOW,91730,CA,4/16/2019 6:45:37,2000-07-23 00:00:00,5/4/2021 12:4:5,5/4/2021,SCHPMT,P2P_COMMIT,P2P,5/4/2021,Non-Fraud
15.47,101384.15,38,8,189,11/18/2018 4:24:47,cellco partnership dba verizon wireless,southwest,arizona,MOBL,DESKTOP,UN_PWD,ALLOW,7712,NJ,,1997-10-30 00:00:00,5/12/2021 6:24:47,5/12/2021,SCHPMT,P2P_COMMIT,P2P,5/12/2021,Non-Fraud
22.67,20508.12,52,7,61,,comcast cable communications  llc,great lakes,minnesota,MOBL,PHONE,UN_PWD,ALLOW,76528,TX,,1982-06-26 00:00:00,2/1/2021 9:7:53,2/1/2021,SCHPMT,P2P_COMMIT,P2P,2/1/2021,Non-Fraud
0.01,0,80,6,499,2/18/2017 18:24:7,t-mobile usa  inc.,southwest,california,MOBL,MOBILE,UN_PWD,ALLOW,79936,TX,,2018-07-19 00:00:00,7/10/2021 14:24:7,7/10/2021,SCHPMT,P2P_COMMIT,P2P,7/10/2021,Non-Fraud
0.01,0,39,5,1661,1/7/2018 3:31:58,charter communications inc,southwest,california,ONLN,MOBILE,UN_PWD,ALLOW,79936,TX,10/10/2019 9:23:20,2000-06-28 00:00:00,7/21/2021 11:31:58,7/21/2021,SCHPMT,P2P_COMMIT,P2P,7/21/2021,Non-Fraud
494.25,28448.57,90,0,92,12/3/2020 0:12:24,"cogetel online, cambodia, isp",unknown,phnum penh,ONLN,,UN_PWD,ALLOW,15210,PA,3/0/2019 13:50:5,2003-06-04 00:00:00,2/17/2021 13:12:24,2/17/2021,SCHPMT,P2P_COMMIT,P2P,2/17/2021,Fraud
0.01,27169,51,3,51,,charter communications,southwest,california,MOBL,MOBILE,UN_PWD,CHALLENGE_SUCCESS,92154,CA,7/28/2019 6:45:37,1998-02-24 00:00:00,8/4/2021 16:0:51,8/4/2021,SCHPMT,P2P_COMMIT,P2P,8/4/2021,Non-Fraud
467.38,0,60,3,35,,comcast cable communications  llc,southwest,california,ONLN,MOBILE,UN_PWD,ALLOW,91016,CA,,1997-11-05 00:00:00,4/2/2021 10:0:51,4/2/2021,SCHPMT,P2P_COMMIT,P2P,4/2/2021,Non-Fraud
494.24,2748.78,30,18,695,,cellco partnership dba verizon wireless,southeast,alabama,MOBL,,UN_PWD,ALLOW,75149,TX,2/13/2020 10:8:17,1998-09-25 00:00:00,6/21/2021 1:20:58,6/21/2021,SCHPMT,P2P_COMMIT,P2P,6/21/2021,Fraud
3.58,1045.24,60,5,494,3/31/2020 14:19:31,centurylink communications  llc,southwest,arizona,ONLN,MOBILE,UN_PWD,ALLOW,85381,AZ,7/1/2018 18:45:37,2001-02-02 00:00:00,3/1/2021 8:19:31,3/1/2021,SCHPMT,P2P_COMMIT,P2P,3/1/2021,Non-Fraud
150.78,724.45,74,0,1280,8/18/2019 12:10:44,comcast cable communications  llc,southeast,florida,ONLN,MOBILE,UN_PWD,ALLOW,92376,CA,,1989-06-26 00:00:00,2/8/2021 11:10:44,2/8/2021,SCHPMT,P2P_COMMIT,P2P,2/8/2021,Fraud
2096.75,2665.48,55,6,195,2/6/2021 1:31:11,at&t mobility llc,southwest,california,MOBL,MOBILE,AFA_PL,ALLOW,85138,AZ,9/26/2018 6:21:29,2008-01-16 00:00:00,4/11/2021 15:31:11,4/11/2021,SCHPMT,P2P_COMMIT,P2P,4/11/2021,Non-Fraud
454.28,0,73,4,1314,,comcast,southwest,california,ONLN,MOBILE,UN_PWD,ALLOW,33139,FL,12/5/2017 8:25:31,2017-09-02 00:00:00,5/8/2021 10:46:21,5/8/2021,SCHPMT,P2P_COMMIT,P2P,5/8/2021,Non-Fraud
2.66,0,63,5,53,1/18/2017 8:11:58,frontier communications of america  inc.,southwest,california,ONLN,MOBILE,FACE_ID,ALLOW,89011,NV,,1998-02-06 00:00:00,3/25/2021 14:11:58,3/25/2021,SCHPMT,P2P_COMMIT,P2P,3/25/2021,Non-Fraud
124.52,280790.48,30,3,788,,comcast,south central,texas,MOBL,MOBILE,FACE_ID,ALLOW,85204,AZ,,2011-03-22 00:00:00,7/22/2021 23:40:16,7/22/2021,SCHPMT,P2P_COMMIT,P2P,7/22/2021,Non-Fraud
18.34,4059.5,31,2,1689,1/8/2017 1:4:18,cox communications inc.,southwest,nevada,MOBL,,AFA_PL,ALLOW,20613,MD,,2017-01-24 00:00:00,1/19/2021 21:4:18,1/19/2021,SCHPMT,P2P_COMMIT,P2P,1/19/2021,Non-Fraud
82.46,0,30,4,1086,,cox communications inc.,southwest,california,ONLN,DESKTOP,UN_PWD,ALLOW,77004,TX,,1999-01-30 00:00:00,2/18/2021 13:4:13,2/18/2021,SCHPMT,P2P_COMMIT,P2P,2/18/2021,Non-Fraud
26.79,3099.93,74,6,1228,9/12/2021 17:57:21,hughes network systems,midwest,nebraska,MOBL,PHONE,UN_PWD,ALLOW,33309,FL,5/5/2019 14:58:44,1999-08-01 00:00:00,5/8/2021 11:57:21,5/8/2021,SCHPMT,P2P_COMMIT,P2P,5/8/2021,Fraud
471.74,842.08,49,8,1881,,,,,ONLN,MOBILE,UN_PWD,ALLOW,31804,GA,,1996-08-11 00:00:00,5/6/2021 6:42:3,5/6/2021,SCHPMT,P2P_COMMIT,P2P,5/6/2021,Non-Fraud
24.12,52.55,28,5,380,,t-mobile usa  inc.,southwest,california,ONLN,MOBILE,FACE_ID,ALLOW,91607,CA,1/8/2020 6:45:37,1995-02-19 00:00:00,3/23/2021 0:10:6,3/23/2021,SCHPMT,P2P_COMMIT,P2P,3/23/2021,Non-Fraud
465.36,0,55,4,1716,12/30/2018 5:35:14,liberty cablevision of puerto rico,unknown,none,ONLN,MOBILE,UN_PWD,ALLOW,33321,FL,1/8/2020 11:45:37,2014-12-23 00:00:00,3/19/2021 14:35:14,3/19/2021,SCHPMT,P2P_COMMIT,P2P,3/19/2021,Non-Fraud
0.01,0,44,4,536,2/4/2021 4:51:36,charter communications inc,southwest,california,ONLN,MOBILE,UN_PWD,ALLOW,95949,CA,,1995-02-08 00:00:00,1/9/2021 8:51:36,1/9/2021,SCHPMT,P2P_COMMIT,P2P,1/9/2021,Non-Fraud
0.01,0,45,4,202,4/18/2017 4:25:8,charter communications inc,southwest,california,ONLN,DESKTOP,UN_PWD,ALLOW,11206,NY,7/8/2020 14:45:37,2003-08-03 00:00:00,7/28/2021 12:25:8,7/28/2021,SCHPMT,P2P_COMMIT,P2P,7/28/2021,Non-Fraud
14.4,0,60,3,500,,frontier communications of america  inc.,southwest,california,MOBL,MOBILE,UN_PWD,ALLOW,89106,NV,7/8/2020 8:45:37,2000-04-11 00:00:00,2/3/2021 12:26:45,2/3/2021,SCHPMT,P2P_COMMIT,P2P,2/3/2021,Non-Fraud
36.28,1670.84,26,6,65,5/1/2020 9:7:20,cox communications inc.,southwest,california,ONLN,MOBILE,UN_PWD,ALLOW,29006,SC,,2002-12-26 00:00:00,7/13/2021 11:0:51,7/13/2021,SCHPMT,P2P_COMMIT,P2P,7/13/2021,Non-Fraud
492.71,34052.03,55,2,757,6/26/2020 20:20:18,,,,ONLN,,AFA_PL,ALLOW,83706,ID,,2014-08-25 00:00:00,3/3/2021 11:20:18,3/3/2021,SCHPMT,P2P_COMMIT,P2P,3/3/2021,Fraud
468.95,15448.96,41,7,17,4/18/2020 13:7:20,cox communications inc.,southwest,california,MOBL,MOBILE,TOUCH_ID,ALLOW,85641,AZ,4/23/2018 9:45:37,1982-05-29 00:00:00,8/20/2021 10:0:51,8/20/2021,SCHPMT,P2P_COMMIT,P2P,8/20/2021,Non-Fraud
491.44,35637.95,76,5,164,12/26/2020 10:18:20,,,,MOBL,MOBILE,UN_PWD,ALLOW,43609,OH,5/9/2017 14:50:5,1997-05-25 00:00:00,6/21/2021 18:18:20,6/21/2021,SCHPMT,P2P_COMMIT,P2P,6/21/2021,Fraud
7.02,0,48,6,1224,9/18/2019 4:1:29,cox communications inc.,southwest,nevada,MOBL,MOBILE,UN_PWD,ALLOW,75150,TX,7/7/2019 6:5:44,1991-08-31 00:00:00,3/5/2021 15:1:29,3/5/2021,SCHPMT,P2P_COMMIT,P2P,3/5/2021,Non-Fraud
230.85,3358.49,76,6,1024,,charter communications,great lakes,minnesota,MOBL,,TOUCH_ID,ALLOW,78418,TX,1/21/2018 16:51:1,1980-04-19 00:00:00,3/19/2021 11:14:35,3/19/2021,SCHPMT,P2P_COMMIT,P2P,3/19/2021,Non-Fraud
491.13,3613.62,42,8,0,,midcontinent communications,midwest,south dakota,ONLN,MOBILE,UN_PWD,ALLOW,77079,TX,5/21/2020 23:6:57,1996-01-01 00:00:00,7/7/2021 17:27:15,7/7/2021,SCHPMT,P2P_COMMIT,P2P,7/7/2021,Fraud
489.51,3110.66,42,6,522,6/5/2020 12:4:47,comcast cable communications  llc,southwest,arizona,ONLN,,UN_PWD,ALLOW,92865,CA,5/17/2017 13:57:24,1984-10-10 00:00:00,4/1/2021 12:4:47,4/1/2021,SCHPMT,P2P_COMMIT,P2P,4/1/2021,Fraud
186.5,0,62,3,97,1/13/2020 4:51:54,cox communications inc.,southwest,nevada,ONLN,MOBILE,UN_PWD,ALLOW,85266,AZ,,1998-10-23 00:00:00,7/5/2021 13:51:54,7/5/2021,SCHPMT,P2P_COMMIT,P2P,7/5/2021,Non-Fraud
487.96,242799.7,46,6,1017,3/3/2018 9:2:16,,,,MOBL,,UN_PWD,ALLOW,55110,MN,5/1/2019 10:30:2,1995-08-06 00:00:00,2/15/2021 19:2:16,2/15/2021,SCHPMT,P2P_COMMIT,P2P,2/15/2021,Fraud
0.01,0,50,5,959,,cox communications inc.,southwest,arizona,ONLN,DESKTOP,UN_PWD,ALLOW,89521,NV,5/12/2020 6:21:16,2002-12-20 00:00:00,6/24/2021 18:13:7,6/24/2021,SCHPMT,P2P_COMMIT,P2P,6/24/2021,Non-Fraud
0.01,0,37,3,229,2/17/2021 13:13:24,charter communications inc,southwest,california,MOBL,MOBILE,UN_PWD,ALLOW,77385,TX,7/8/2020 6:45:37,1998-03-24 00:00:00,2/9/2021 14:13:24,2/9/2021,SCHPMT,P2P_COMMIT,P2P,2/9/2021,Non-Fraud
0.01,42542.12,64,5,257,4/5/2020 1:7:20,centurylink communications  llc,southwest,arizona,MOBL,MOBILE,UN_PWD,ALLOW,75802,TX,,1996-07-29 00:00:00,3/13/2021 15:0:51,3/13/2021,SCHPMT,P2P_COMMIT,P2P,3/13/2021,Non-Fraud
44.33,1546.64,67,3,90,6/26/2021 13:33:25,charter communications inc,southwest,california,MOBL,MOBILE,UN_PWD,ALLOW,85254,AZ,5/8/2017 6:10:51,1997-02-28 00:00:00,1/6/2021 8:33:25,1/6/2021,SCHPMT,P2P_COMMIT,P2P,1/6/2021,Non-Fraud
488.75,2491.04,80,8,1862,3/3/2021 9:36:13,,,,ONLN,,UN_PWD,ALLOW,39581,MS,,1996-12-29 00:00:00,7/29/2021 12:36:13,7/29/2021,SCHPMT,P2P_COMMIT,P2P,7/29/2021,Fraud
31.42,0,67,9,293,12/13/2018 22:21:21,comcast,southwest,california,MOBL,MOBILE,UN_PWD,ALLOW,91436,CA,,1997-08-30 00:00:00,1/29/2021 19:21:21,1/29/2021,SCHPMT,P2P_COMMIT,P2P,1/29/2021,Non-Fraud
63.81,821.3,50,11,130,,at&t mobility llc,southwest,california,ONLN,MOBILE,UN_PWD,CHALLENGE_ISSUED,94555,CA,,1985-02-06 00:00:00,7/11/2021 9:8:5,7/11/2021,SCHPMT,P2P_COMMIT,P2P,7/11/2021,Non-Fraud
492.63,2624.65,56,3,419,11/3/2019 17:9:55,cyber internet services (pvt) ltd.,unknown,punjab,MOBL,MOBILE,UN_PWD,ALLOW,33301,FL,5/24/2021 16:9:26,2006-07-28 00:00:00,2/9/2021 4:9:55,2/9/2021,SCHPMT,P2P_COMMIT,P2P,2/9/2021,Fraud
100.4,1015.41,72,3,407,6/20/2021 13:56:55,charter communications,southeast,north carolina,ONLN,DESKTOP,FACE_ID,ALLOW,95926,CA,5/28/2017 11:50:5,1975-08-31 00:00:00,1/22/2021 7:14:46,1/22/2021,SCHPMT,P2P_COMMIT,P2P,1/22/2021,Fraud
487.25,1599.39,71,4,0,7/3/2018 10:29:44,,,,ONLN,DESKTOP,UN_PWD,ALLOW,90247,CA,5/7/2020 23:34:43,2011-10-16 00:00:00,3/26/2021 9:29:44,3/26/2021,SCHPMT,P2P_COMMIT,P2P,3/26/2021,Fraud
489.94,4758.35,57,3,0,2/3/2020 12:15:54,,,,ONLN,MOBILE,UN_PWD,ALLOW,92356,CA,,1981-01-23 00:00:00,2/21/2021 14:15:54,2/21/2021,SCHPMT,P2P_COMMIT,P2P,2/21/2021,Fraud
0.01,523.07,68,4,2039,5/4/2019 7:7:20,charter communications,southwest,california,MOBL,MOBILE,UN_PWD,ALLOW,91107,CA,,1984-09-15 00:00:00,7/19/2021 8:0:51,7/19/2021,SCHPMT,P2P_COMMIT,P2P,7/19/2021,Non-Fraud
477.42,240.35,62,2,101,5/5/2020 7:35:23,att services inc,southwest,california,ONLN,MOBILE,UN_PWD,ALLOW,77901,TX,,1987-11-19 00:00:00,3/16/2021 8:35:23,3/16/2021,SCHPMT,P2P_COMMIT,P2P,3/16/2021,Non-Fraud
8.89,5949.39,38,3,1020,3/25/2020 15:31:33,cox communications inc.,southwest,arizona,MOBL,MOBILE,UN_PWD,ALLOW,78644,TX,,1988-08-09 00:00:00,6/14/2021 22:31:33,6/14/2021,SCHPMT,P2P_COMMIT,P2P,6/14/2021,Non-Fraud
492.11,250225.91,63,2,420,11/2/2020 9:5:32,comcast,mountain,utah,MOBL,MOBILE,FACE_ID,ALLOW,27262,NC,,1987-09-01 00:00:00,6/5/2021 14:5:32,6/5/2021,SCHPMT,P2P_COMMIT,P2P,6/5/2021,Fraud
480.6,35860.53,61,12,1260,,cox communications inc.,southwest,arizona,MOBL,DESKTOP,FACE_ID,ALLOW,85034,AZ,7/21/2020 6:45:37,2018-10-25 00:00:00,6/22/2021 7:51:27,6/22/2021,SCHPMT,P2P_COMMIT,P2P,6/22/2021,Non-Fraud
0.01,0,52,4,90,2/18/2017 3:11:41,charter communications,southwest,california,ONLN,MOBILE,FACE_ID,ALLOW,91702,CA,,2020-02-21 00:00:00,1/11/2021 12:11:41,1/11/2021,SCHPMT,P2P_COMMIT,P2P,1/11/2021,Non-Fraud
0.01,0,31,12,11,12/18/2021 14:6:54,,,,MOBL,MOBILE,UN_PWD,ALLOW,32162,FL,,1998-11-21 00:00:00,4/19/2021 17:6:54,4/19/2021,SCHPMT,P2P_COMMIT,P2P,4/19/2021,Non-Fraud
468.11,82158.42,52,18,949,,comcast,south central,texas,MOBL,MOBILE,UN_PWD,,27516,NC,,1987-08-03 00:00:00,3/9/2021 14:28:18,3/9/2021,SCHPMT,P2P_COMMIT,P2P,3/9/2021,Non-Fraud
416.3,1835.11,29,12,2169,,centurylink communications  llc,northeast,new york,MOBL,MOBILE,TOUCH_ID,ALLOW,89169,NV,,2017-08-01 00:00:00,7/3/2021 12:23:14,7/3/2021,SCHPMT,P2P_COMMIT,P2P,7/3/2021,Non-Fraud
0.01,0,39,6,1664,5/5/2021 13:11:6,t-mobile usa  inc.,south central,texas,ONLN,,TOUCH_ID,ALLOW,90601,CA,5/14/2017 10:14:15,1994-08-25 00:00:00,6/9/2021 14:11:6,6/9/2021,SCHPMT,P2P_COMMIT,P2P,6/9/2021,Non-Fraud
460.17,0,35,8,90,,comcast,great lakes,michigan,ONLN,,AFA_PL,ALLOW,85338,AZ,,1986-11-01 00:00:00,1/4/2021 19:45:32,1/4/2021,SCHPMT,P2P_COMMIT,P2P,1/4/2021,Non-Fraud
486.09,2612.77,55,4,331,3/27/2021 14:56:55,,,,MOBL,DESKTOP,UN_PWD,ALLOW,29625,SC,5/22/2020 23:3:13,1991-10-01 00:00:00,3/1/2021 19:14:46,3/1/2021,SCHPMT,P2P_COMMIT,P2P,3/1/2021,Fraud
491.45,2927.76,77,0,904,12/26/2021 15:30:52,,,,MOBL,,UN_PWD,ALLOW,86504,AZ,11/10/2020 11:48:25,1997-07-13 00:00:00,2/5/2021 17:30:52,2/5/2021,SCHPMT,P2P_COMMIT,P2P,2/5/2021,Fraud
466,12736.59,64,4,457,5/18/2021 19:37:14,cox communications inc.,southwest,california,ONLN,MOBILE,FACE_ID,ALLOW,22041,VA,5/21/2019 11:13:23,2002-01-01 00:00:00,1/10/2021 11:37:14,1/10/2021,SCHPMT,P2P_COMMIT,P2P,1/10/2021,Non-Fraud
0.55,21344.1,27,6,270,9/18/2018 3:38:13,leaseweb usa  inc.,southwest,arizona,ONLN,MOBILE,AFA_PL,ALLOW,75229,TX,,1966-02-15 00:00:00,7/10/2021 18:38:13,7/10/2021,SCHPMT,P2P_COMMIT,P2P,7/10/2021,Non-Fraud
130.67,16242.07,72,3,1420,2/23/2019 5:4:49,visionary communications  inc.,mountain,colorado,MOBL,MOBILE,UN_PWD,ALLOW,94551,CA,12/2/2019 14:14:59,1989-01-25 00:00:00,7/18/2021 11:4:49,7/18/2021,SCHPMT,P2P_COMMIT,P2P,7/18/2021,Non-Fraud
484.56,42911.4,71,7,63,2/28/2019 14:6:8,charter communications,northeast,massachusetts,MOBL,MOBILE,UN_PWD,ALLOW,88310,NM,5/8/2019 21:38:5,2011-06-09 00:00:00,2/20/2021 21:6:8,2/20/2021,SCHPMT,P2P_COMMIT,P2P,2/20/2021,Non-Fraud
491.52,2882.18,50,3,0,3/1/2018 11:44:16,,,,ONLN,MOBILE,UN_PWD,ALLOW,11554,NY,,1994-02-17 00:00:00,3/12/2021 9:44:16,3/12/2021,SCHPMT,P2P_COMMIT,P2P,3/12/2021,Fraud
14.91,0,44,8,1079,2/13/2021 3:7:20,cox communications inc.,southwest,california,MOBL,DESKTOP,UN_PWD,ALLOW,95020,CA,3/8/2019 13:45:37,2019-04-21 00:00:00,5/25/2021 12:0:51,5/25/2021,SCHPMT,P2P_COMMIT,P2P,5/25/2021,Non-Fraud
